"gscStatus","url","path","lastGscDate","pageType","currentIndexability","inCurrentSitemap","lastMaterialChange","registryReviewAt","internalLinkSourceCount","sampleInternalLinkSources","sixMonthClicks","sixMonthImpressions","action","destination","rationale","nextReview"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/case-studies/second-mortgage-working-capital-case-study","/resources/case-studies/second-mortgage-working-capital-case-study","Jul 9, 2026","case-study","indexable","true","2026-08-06","2026-11-04","0","none found","0","26","improve","","No literal contextual internal-link source was found; add a relevant link rather than creating another overlapping page.","2026-10-18"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/case-studies/south-yarra-apartment-development","/resources/case-studies/south-yarra-apartment-development","Jun 4, 2026","case-study","noindex","false","2026-08-05","unavailable","0","none found","0","32","retain with noindex","","The page remains useful to visitors but has no separate search mission under the current registry decision.","2026-12-19"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/case-studies/surry-hills-commercial-acquisition","/resources/case-studies/surry-hills-commercial-acquisition","Aug 2, 2026","case-study","indexable","true","2026-08-06","2026-11-04","0","none found","0","10","improve","","No literal contextual internal-link source was found; add a relevant link rather than creating another overlapping page.","2026-10-18"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/faqs","/resources/faqs","Aug 2, 2026","resource","indexable","true","2026-08-06","2027-02-02","4","src/components/Footer.tsx; src/config/site-route-manifest.ts; src/pages/Guides.tsx","1","15","improve","","Historical demand is meaningful; preserve the URL and improve query alignment, opening answer and internal links.","2026-10-18"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/glossary","/resources/glossary","May 13, 2026","resource","indexable","true","2026-08-06","2027-02-02","2","src/config/site-route-manifest.ts; src/pages/ResourcesHub.tsx","0","6","retain","","Indexable URL remains within its evidence-collection window; exclusion alone does not justify removal.","2027-02-02"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/guides","/resources/guides","May 11, 2026","resource","indexable","true","2026-08-06","2027-02-02","398","src/components/Footer.tsx; src/components/Navbar.tsx; src/components/RelatedReading.tsx","0","3","retain","","Indexable URL remains within its evidence-collection window; exclusion alone does not justify removal.","2027-02-02"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/guides/2nd-loan-mortgage-business-capital","/resources/guides/2nd-loan-mortgage-business-capital","Apr 3, 2026","redirect","redirected","false","2026-08-05","2026-09-02","0","none found","0","66","merge","/resources/guides/second-mortgages-for-business-guide","Existing approved consolidation is retained as a direct permanent redirect to /resources/guides/second-mortgages-for-business-guide.","2026-12-19"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/guides/ato-gic-is-no-longer-deductible-should-businesses-refinance-tax-debt","/resources/guides/ato-gic-is-no-longer-deductible-should-businesses-refinance-tax-debt","Sep 6, 2026","guide","indexable","true","2026-08-06","2027-02-02","3","src/content/guides/import-gst-and-customs-duty-finance-for-australian-businesses.md; src/content/guides/private-credit-for-sme-borrowers-in-australia-when-it-replaces-bank-finance.md; src/content/guides/superannuation-guarantee-charge-business-finance-options-australia.md","0","17","retain","","Indexable URL remains within its evidence-collection window; exclusion alone does not justify removal.","2027-02-02"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/guides/ato-payment-plan-refused-business-finance-options-australia","/resources/guides/ato-payment-plan-refused-business-finance-options-australia","Sep 6, 2026","guide","indexable","true","2026-08-06","2027-02-02","3","src/content/guides/ato-tax-debt-disclosure-credit-reporting-finance-australia.md; src/content/guides/loss-carry-back-business-finance-australia-2026.md; src/content/guides/statutory-demand-business-finance-options-australia.md","0","17","retain","","Indexable URL remains within its evidence-collection window; exclusion alone does not justify removal.","2027-02-02"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/guides/balloon-payment-refinance-for-equipment-and-asset-finance","/resources/guides/balloon-payment-refinance-for-equipment-and-asset-finance","Jul 28, 2026","guide","indexable","true","2026-08-06","2027-02-02","1","src/content/guides/equipment-sale-and-leaseback-finance-australia.md","0","49","retain","","Indexable URL remains within its evidence-collection window; exclusion alone does not justify removal.","2027-02-02"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/guides/bridging-finance-sydney-48-hour-settlement-possible","/resources/guides/bridging-finance-sydney-48-hour-settlement-possible","Apr 30, 2026","redirect","redirected","false","2026-08-05","2026-09-02","0","none found","0","14","merge","/services/bridging-finance/cities/sydney","Existing approved consolidation is retained as a direct permanent redirect to /services/bridging-finance/cities/sydney.","2026-12-19"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/guides/cashflow-facility-stack-in-australia-line-of-credit-vs-working-capital-loan-vs-invoice-finance","/resources/guides/cashflow-facility-stack-in-australia-line-of-credit-vs-working-capital-loan-vs-invoice-finance","Jul 21, 2026","guide","indexable","true","2026-08-06","2027-02-02","15","src/content/guides/anti-dumping-duty-trade-finance-australia.md; src/content/guides/bas-debt-finance-for-australian-businesses.md; src/content/guides/business-loan-requirements-australia-commercial-borrowers.md","0","29","retain","","Indexable URL remains within its evidence-collection window; exclusion alone does not justify removal.","2027-02-02"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/guides/caveat-loan-application-rejected-what-to-do-next","/resources/guides/caveat-loan-application-rejected-what-to-do-next","Apr 5, 2026","redirect","redirected","false","2026-08-05","2026-09-02","0","none found","unavailable","unavailable","merge","/resources/guides/caveat-loan-rejected-heres-what-to-do-next","Existing approved consolidation is retained as a direct permanent redirect to /resources/guides/caveat-loan-rejected-heres-what-to-do-next.","2026-12-19"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/guides/caveat-loan-exit-plan-after-bank-delay-case-study","/resources/guides/caveat-loan-exit-plan-after-bank-delay-case-study","Jun 27, 2026","guide","indexable","true","2026-08-06","2027-02-02","0","none found","unavailable","unavailable","improve","","No literal contextual internal-link source was found; add a relevant link rather than creating another overlapping page.","2026-10-18"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/guides/caveat-loan-prevented-business-closure-tax-debt-case-study","/resources/guides/caveat-loan-prevented-business-closure-tax-debt-case-study","Apr 26, 2026","guide","noindex","false","2026-08-05","unavailable","0","none found","0","5","retain with noindex","","The page remains useful to visitors but has no separate search mission under the current registry decision.","2026-12-19"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/guides/caveat-loans-australia-guide","/resources/guides/caveat-loans-australia-guide","Apr 2, 2026","redirect","redirected","false","2026-08-06","unavailable","0","none found","0","56","merge","/resources/guides/caveat-loans-australia-complete-guide","Existing approved consolidation is retained as a direct permanent redirect to /resources/guides/caveat-loans-australia-complete-guide.","2026-12-19"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/guides/caveat-loans-melbourne-quick-business-finance","/resources/guides/caveat-loans-melbourne-quick-business-finance","May 4, 2026","redirect","redirected","false","2026-08-05","2026-09-02","0","none found","0","506","merge","/services/caveat-loans/cities/melbourne","Existing approved consolidation is retained as a direct permanent redirect to /services/caveat-loans/cities/melbourne.","2026-12-19"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/guides/caveat-loans-sydney-same-day-approval-available","/resources/guides/caveat-loans-sydney-same-day-approval-available","Apr 29, 2026","redirect","redirected","false","2026-08-06","unavailable","0","none found","0","96","merge","/services/caveat-loans/cities/sydney","Existing approved consolidation is retained as a direct permanent redirect to /services/caveat-loans/cities/sydney.","2026-12-19"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/guides/caveat-loans-vs-bank-loans-speed-comparison","/resources/guides/caveat-loans-vs-bank-loans-speed-comparison","Sep 14, 2026","guide","indexable","true","2026-08-06","2027-02-02","3","src/content/guides/caveat-loans-online-in-australia-fast-enquiry-vs-real-approval.md; src/content/guides/no-credit-check-caveat-loans-in-australia-what-business-borrowers-should-know.md; src/pages/services/CaveatLoans.tsx","0","38","retain","","Indexable URL remains within its evidence-collection window; exclusion alone does not justify removal.","2027-02-02"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/guides/commercial-bridging-finance-auction-purchases","/resources/guides/commercial-bridging-finance-auction-purchases","Apr 4, 2026","redirect","redirected","false","2026-08-05","2026-09-02","0","none found","0","11","merge","/resources/guides/commercial-bridging-loans-for-property-auctions-expert-guide","Existing approved consolidation is retained as a direct permanent redirect to /resources/guides/commercial-bridging-loans-for-property-auctions-expert-guide.","2026-12-19"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/guides/commercial-land-loans-financing-property-development","/resources/guides/commercial-land-loans-financing-property-development","Jul 21, 2026","redirect","redirected","false","2026-08-05","2026-09-02","0","none found","0","42","merge","/resources/guides/commercial-property-development-finance","Existing approved consolidation is retained as a direct permanent redirect to /resources/guides/commercial-property-development-finance.","2026-12-19"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/guides/commercial-mortgage-broker-regional-property-finance","/resources/guides/commercial-mortgage-broker-regional-property-finance","Jun 27, 2026","guide","indexable","true","2026-08-06","2027-02-02","0","none found","0","27","improve","","No literal contextual internal-link source was found; add a relevant link rather than creating another overlapping page.","2026-10-18"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/guides/commercial-property-finance-broker-selection-checklist","/resources/guides/commercial-property-finance-broker-selection-checklist","Sep 16, 2026","guide","indexable","true","2026-08-06","2027-02-02","4","src/content/guides/commercial-mortgage-broker-regional-property-finance.md; src/content/guides/commercial-property-loan-after-bank-decline-non-bank-options-australia.md; src/content/guides/commercial-property-valuation-delay-case-study.md","0","25","retain","","Indexable URL remains within its evidence-collection window; exclusion alone does not justify removal.","2027-02-02"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/guides/commercial-property-loan-covenant-breach-refinance-options","/resources/guides/commercial-property-loan-covenant-breach-refinance-options","Jul 5, 2026","guide","indexable","true","2026-08-06","2027-02-02","6","src/content/guides/bank-exit-finance-commercial-borrowers-australia.md; src/content/guides/commercial-property-loan-after-bank-decline-non-bank-options-australia.md; src/content/guides/construction-funding-gap-private-credit-bank-shortfall-australia.md","1","63","improve","","Historical demand is meaningful; preserve the URL and improve query alignment, opening answer and internal links.","2026-10-18"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/guides/commercial-property-loan-deposit-shortfall-case-study","/resources/guides/commercial-property-loan-deposit-shortfall-case-study","Sep 8, 2026","guide","indexable","true","2026-08-06","2027-02-02","0","none found","0","58","improve","","No literal contextual internal-link source was found; add a relevant link rather than creating another overlapping page.","2026-10-18"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/guides/commercial-property-loan-eligibility-what-you-need-to-qualify","/resources/guides/commercial-property-loan-eligibility-what-you-need-to-qualify","Jun 6, 2026","guide","indexable","true","2026-08-06","2027-02-02","35","src/content/guides/bank-vs-non-bank-commercial-lending-in-australia-which-borrowers-get-approved.md; src/content/guides/bridging-loan-exit-strategies-plan-your-repayment-path.md; src/content/guides/business-lenders-australia-urgent-settlement.md","0","84","retain","","Indexable URL remains within its evidence-collection window; exclusion alone does not justify removal.","2027-02-02"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/guides/commercial-property-loan-retail-spaces-guide","/resources/guides/commercial-property-loan-retail-spaces-guide","Apr 2, 2026","redirect","redirected","false","2026-08-05","2026-09-02","0","none found","0","10","merge","/resources/guides/commercial-property-loans-australia-complete-guide","Existing approved consolidation is retained as a direct permanent redirect to /resources/guides/commercial-property-loans-australia-complete-guide.","2026-12-19"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/guides/commercial-property-loans-for-startups-first-time-buyers","/resources/guides/commercial-property-loans-for-startups-first-time-buyers","May 9, 2026","guide","indexable","true","2026-08-05","2026-09-02","3","src/content/guides/commercial-property-loan-serviceability-how-much-can-you-borrow.md; src/content/guides/construction-finance-australia-complete-guide.md; src/content/guides/owner-occupier-commercial-loans-buy-your-business-premises.md","unavailable","unavailable","retain","","Indexable URL remains within its evidence-collection window; exclusion alone does not justify removal.","2026-09-02"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/guides/commercial-property-refinancing-solutions","/resources/guides/commercial-property-refinancing-solutions","Apr 25, 2026","redirect","redirected","false","2026-08-05","2026-09-02","0","none found","0","18","merge","/services/refinancing-solutions","Existing approved consolidation is retained as a direct permanent redirect to /services/refinancing-solutions.","2026-12-19"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/guides/commercial-property-valuation-dispute-finance-options-australia","/resources/guides/commercial-property-valuation-dispute-finance-options-australia","Jun 23, 2026","guide","indexable","true","2026-08-06","2027-02-02","6","src/content/guides/bank-exit-finance-commercial-borrowers-australia.md; src/content/guides/commercial-loan-maturity-refinance-australia.md; src/content/guides/commercial-property-investor-loan-checklist.md","0","23","retain","","Indexable URL remains within its evidence-collection window; exclusion alone does not justify removal.","2027-02-02"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/guides/commercial-real-estate-lenders-australia-directory","/resources/guides/commercial-real-estate-lenders-australia-directory","Apr 18, 2026","redirect","redirected","false","2026-08-05","2026-09-02","0","none found","0","6","merge","/resources/guides/commercial-property-lenders-in-australia-complete-directory","Existing approved consolidation is retained as a direct permanent redirect to /resources/guides/commercial-property-lenders-in-australia-complete-directory.","2026-12-19"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/guides/construction-completion-finance-in-australia-funding-a-project-that-has-stalled","/resources/guides/construction-completion-finance-in-australia-funding-a-project-that-has-stalled","Sep 11, 2026","guide","indexable","true","2026-08-06","2027-02-02","8","src/content/case-studies/parramatta-mixed-use-development.md; src/content/guides/bridge-lending-australia-commercial-property.md; src/content/guides/construction-funding-gap-private-credit-bank-shortfall-australia.md","0","7","retain","","Indexable URL remains within its evidence-collection window; exclusion alone does not justify removal.","2027-02-02"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/guides/construction-finance-australia-complete-guide","/resources/guides/construction-finance-australia-complete-guide","Aug 4, 2026","guide","indexable","true","2026-08-06","2027-02-02","37","src/content/case-studies/parramatta-mixed-use-development.md; src/content/guides/bridging-finance-developers-project-funding-solutions.md; src/content/guides/bridging-finance-subdivision-registration-delay-australia.md","0","358","improve","","Historical demand is meaningful; preserve the URL and improve query alignment, opening answer and internal links.","2026-10-18"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/guides/director-guarantees-in-business-loans","/resources/guides/director-guarantees-in-business-loans","Apr 13, 2026","redirect","redirected","false","2026-08-06","unavailable","0","none found","unavailable","unavailable","merge","/resources/guides/personal-guarantee-business-loan-australia","Existing approved consolidation is retained as a direct permanent redirect to /resources/guides/personal-guarantee-business-loan-australia.","2026-12-19"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/guides/director-penalty-notice-finance-in-australia-funding-options-before-the-21-day-deadline","/resources/guides/director-penalty-notice-finance-in-australia-funding-options-before-the-21-day-deadline","Sep 7, 2026","guide","indexable","true","2026-08-06","2027-02-02","3","src/content/guides/ato-payment-plan-refused-business-finance-options-australia.md; src/content/guides/commercial-property-loan-covenants-what-happens-when-a-business-breaches-them.md; src/content/guides/private-finance-for-business-after-bank-delay.md","unavailable","unavailable","retain","","Indexable URL remains within its evidence-collection window; exclusion alone does not justify removal.","2027-02-02"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/guides/division-7a-loan-secured-by-real-property-business-finance","/resources/guides/division-7a-loan-secured-by-real-property-business-finance","Jul 6, 2026","guide","indexable","true","2026-08-06","2027-02-02","0","none found","0","25","improve","","No literal contextual internal-link source was found; add a relevant link rather than creating another overlapping page.","2026-10-18"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/guides/equipment-finance-balloon-payment-refinance-australia","/resources/guides/equipment-finance-balloon-payment-refinance-australia","Jul 8, 2026","guide","indexable","true","2026-08-06","2027-02-02","5","src/content/guides/business-turnaround-finance-australia.md; src/content/guides/equipment-sale-and-leaseback-finance-australia.md; src/content/guides/franchise-fit-out-finance-australia.md","0","25","retain","","Indexable URL remains within its evidence-collection window; exclusion alone does not justify removal.","2027-02-02"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/guides/finding-best-private-lenders-for-your-business","/resources/guides/finding-best-private-lenders-for-your-business","May 12, 2026","redirect","redirected","false","2026-08-05","2026-09-02","0","none found","0","13","merge","/resources/guides/private-mortgage-lenders-australia-directory","Existing approved consolidation is retained as a direct permanent redirect to /resources/guides/private-mortgage-lenders-australia-directory.","2026-12-19"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/guides/franchise-fit-out-finance-australia","/resources/guides/franchise-fit-out-finance-australia","Jul 11, 2026","guide","indexable","true","2026-08-06","2027-02-02","1","src/content/guides/fitout-finance-landlord-contribution-delay-australia.md","1","159","improve","","Historical demand is meaningful; preserve the URL and improve query alignment, opening answer and internal links.","2026-10-18"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/guides/hospitality-fitout-finance-in-australia-funding-cafes-restaurants-and-venues","/resources/guides/hospitality-fitout-finance-in-australia-funding-cafes-restaurants-and-venues","Apr 28, 2026","guide","indexable","true","2026-08-06","2027-02-02","2","src/content/guides/fitout-finance-landlord-contribution-delay-australia.md; src/content/guides/progress-claim-finance-for-stalled-fitouts-and-construction-projects-in-australia.md","0","31","retain","","Indexable URL remains within its evidence-collection window; exclusion alone does not justify removal.","2027-02-02"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/guides/hospitality-property-finance-restaurants-hotels-venues","/resources/guides/hospitality-property-finance-restaurants-hotels-venues","Apr 29, 2026","guide","indexable","true","2026-08-06","2027-02-02","3","src/content/case-studies/melbourne-collingwood-refinancing.md; src/content/guides/commercial-property-investor-loan-checklist.md; src/content/guides/construction-finance-australia-complete-guide.md","0","3","retain","","Indexable URL remains within its evidence-collection window; exclusion alone does not justify removal.","2027-02-02"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/guides/invoice-finance-vs-property-loans","/resources/guides/invoice-finance-vs-property-loans","Mar 28, 2026","redirect","redirected","false","2026-08-06","unavailable","0","none found","unavailable","unavailable","merge","/resources/guides/invoice-finance-australia-complete-guide","Existing approved consolidation is retained as a direct permanent redirect to /resources/guides/invoice-finance-australia-complete-guide.","2026-12-19"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/guides/line-of-credit-equity","/resources/guides/line-of-credit-equity","Jun 25, 2026","redirect","redirected","false","2026-08-05","2026-09-02","0","none found","0","117","merge","/resources/guides/second-mortgage-vs-line-of-credit","Existing approved consolidation is retained as a direct permanent redirect to /resources/guides/second-mortgage-vs-line-of-credit.","2026-12-19"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/guides/loss-carry-back-business-finance-australia-2026","/resources/guides/loss-carry-back-business-finance-australia-2026","Jun 24, 2026","guide","indexable","true","2026-08-06","2027-02-02","0","none found","0","21","improve","","No literal contextual internal-link source was found; add a relevant link rather than creating another overlapping page.","2026-10-18"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/guides/negative-gearing-commercial-property-tax-strategies","/resources/guides/negative-gearing-commercial-property-tax-strategies","Jul 8, 2026","redirect","redirected","false","2026-08-05","2026-09-02","0","none found","0","41","merge","/resources/guides/commercial-property-loans-australia-complete-guide","Existing approved consolidation is retained as a direct permanent redirect to /resources/guides/commercial-property-loans-australia-complete-guide.","2026-12-19"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/guides/payroll-tax-debt-finance-australia","/resources/guides/payroll-tax-debt-finance-australia","Sep 4, 2026","guide","indexable","true","2026-08-06","2027-02-02","2","src/content/guides/bas-debt-finance-for-australian-businesses.md; src/content/guides/eofy-working-capital-loans-before-30-june.md","0","25","retain","","Indexable URL remains within its evidence-collection window; exclusion alone does not justify removal.","2027-02-02"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/guides/private-commercial-loans-for-smes","/resources/guides/private-commercial-loans-for-smes","Sep 13, 2026","guide","indexable","true","2026-08-06","2027-02-02","13","src/content/case-studies/second-mortgage-working-capital-case-study.md; src/content/guides/bad-credit-business-loans-for-commercial-borrowers.md; src/content/guides/business-lenders-australia-comparison-broker-commentary.md","0","2","retain","","Indexable URL remains within its evidence-collection window; exclusion alone does not justify removal.","2027-02-02"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/guides/private-commercial-real-estate-lenders-cre-directory","/resources/guides/private-commercial-real-estate-lenders-cre-directory","Apr 30, 2026","redirect","redirected","false","2026-08-05","2026-09-02","0","none found","0","13","merge","/resources/guides/commercial-property-lenders-in-australia-complete-directory","Existing approved consolidation is retained as a direct permanent redirect to /resources/guides/commercial-property-lenders-in-australia-complete-directory.","2026-12-19"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/guides/private-credit-broker-vs-direct-private-credit-fund-australia","/resources/guides/private-credit-broker-vs-direct-private-credit-fund-australia","Jun 23, 2026","guide","indexable","true","2026-08-06","2027-02-02","1","src/content/guides/cross-collateralised-commercial-property-refinance-australia.md","0","6","retain","","Indexable URL remains within its evidence-collection window; exclusion alone does not justify removal.","2027-02-02"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/guides/private-finance-for-business-after-bank-delay","/resources/guides/private-finance-for-business-after-bank-delay","Sep 11, 2026","guide","indexable","true","2026-08-06","2027-02-02","8","src/content/case-studies/second-mortgage-working-capital-case-study.md; src/content/guides/bank-exit-finance-commercial-borrowers-australia.md; src/content/guides/business-lenders-australia-urgent-settlement.md","0","1","retain","","Indexable URL remains within its evidence-collection window; exclusion alone does not justify removal.","2027-02-02"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/guides/private-lenders-for-mortgages","/resources/guides/private-lenders-for-mortgages","May 1, 2026","redirect","redirected","false","2026-08-06","unavailable","0","none found","0","64","merge","/resources/guides/private-mortgage-lenders-australia-directory","Existing approved consolidation is retained as a direct permanent redirect to /resources/guides/private-mortgage-lenders-australia-directory.","2026-12-19"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/guides/private-lenders-small-business-fast-approval-guide","/resources/guides/private-lenders-small-business-fast-approval-guide","May 1, 2026","redirect","redirected","false","2026-08-05","2026-09-02","0","none found","0","2","merge","/resources/guides/short-term-private-lenders-fast-business-finance-solutions","Existing approved consolidation is retained as a direct permanent redirect to /resources/guides/short-term-private-lenders-fast-business-finance-solutions.","2026-12-19"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/guides/private-mortgage-loans-for-commercial-borrowers","/resources/guides/private-mortgage-loans-for-commercial-borrowers","Jun 29, 2026","guide","indexable","true","2026-08-06","2027-02-02","0","none found","0","58","improve","","No literal contextual internal-link source was found; add a relevant link rather than creating another overlapping page.","2026-10-18"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/guides/restaurant-expansion-second-mortgage-case-study","/resources/guides/restaurant-expansion-second-mortgage-case-study","Apr 26, 2026","guide","indexable","true","2026-08-06","2027-02-02","0","none found","0","19","improve","","No literal contextual internal-link source was found; add a relevant link rather than creating another overlapping page.","2026-10-18"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/guides/second-mortgage-for-a-business-partner-buyout-in-australia","/resources/guides/second-mortgage-for-a-business-partner-buyout-in-australia","Aug 7, 2026","guide","indexable","true","2026-08-05","2026-09-02","11","src/config/discovery-guides.ts; src/content/guides/business-acquisition-finance-australia.md; src/content/guides/private-credit-for-sme-borrowers-in-australia-when-it-replaces-bank-finance.md","0","4","retain","","Indexable URL remains within its evidence-collection window; exclusion alone does not justify removal.","2026-09-02"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/guides/second-mortgage-for-business-australia","/resources/guides/second-mortgage-for-business-australia","Apr 11, 2026","redirect","redirected","false","2026-08-06","unavailable","0","none found","0","1","merge","/resources/guides/second-mortgages-for-business-guide","Existing approved consolidation is retained as a direct permanent redirect to /resources/guides/second-mortgages-for-business-guide.","2026-12-19"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/guides/second-mortgage-vs-line-of-credit-which-to-choose","/resources/guides/second-mortgage-vs-line-of-credit-which-to-choose","Apr 8, 2026","redirect","redirected","false","2026-08-06","unavailable","0","none found","0","13","merge","/resources/guides/second-mortgage-vs-line-of-credit","Existing approved consolidation is retained as a direct permanent redirect to /resources/guides/second-mortgage-vs-line-of-credit.","2026-12-19"
